City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Barcelona,1353,1123,1351,1745,1256,1366,1849,2563,2638,890,606,507,1570,1110,1563,1510,2990,1464,840,722,926,884,2375,2294,1048,1244,1233,2202,1890,1716,962,923,1988,1418,1114,519,0,2292,2019,870,643,2452,2390,1233,1912,1583,1508,1418,1526,2247
Stockholm,1230,1256,1668,1812,1452,1033,448,401,410,1519,1686,2014,736,1285,741,1336,2154,1623,1935,1671,1608,1717,417,614,1262,1126,1172,410,801,1009,2930,2744,1754,1225,1470,2617,2292,0,366,1461,1652,1302,1686,1368,2374,1902,2006,1892,1563,1519
Gothenburg,1143,933,1611,1835,1362,899,230,762,776,1197,1416,1696,560,1112,462,1310,1923,1257,1779,1460,1446,1557,725,863,971,802,839,230,879,1030,2595,2402,1831,1160,1341,2304,2019,366,0,1240,1395,1519,1851,1013,2388,1888,1973,1846,1545,1670
Zurich,537,575,776,1185,547,497,1038,1702,1781,566,326,803,726,251,782,758,2668,1259,605,222,321,407,1507,1424,400,626,663,1451,1028,875,1707,1582,1363,611,398,1303,870,1461,1240,0,255,1649,1682,854,1581,1100,1102,967,877,1513
Geneva,790,575,968,1386,772,742,1214,1921,1995,449,77,557,927,506,934,1000,2639,1162,654,259,481,521,1736,1667,445,671,683,1591,1278,1130,1452,1329,1584,862,618,1050,643,1652,1395,255,0,1903,1923,797,1727,1277,1256,1129,1095,1758
Kyiv,1115,1902,1188,989,1199,1212,1371,1072,1175,2084,1974,2447,1286,1400,1498,944,3436,2554,1709,1736,1527,1582,905,688,1778,1823,1891,1680,734,786,3352,3230,767,1044,1337,2935,2452,1302,1519,1649,1903,0,445,2164,1445,1176,1315,1282,994,365
Odessa,1157,2053,1045,716,1157,1337,1671,1500,1606,2190,1999,2480,1509,1454,1735,924,3772,2749,1579,1713,1481,1507,1314,1086,1903,1998,2065,2036,987,930,3333,3239,452,1083,1311,2898,2390,1686,1851,1682,1923,445,0,2338,1060,914,1046,1056,864,189
London,1224,298,1601,1984,1340,1003,957,1742,1775,362,760,782,886,965,704,1475,1842,421,1433,1021,1175,1257,1636,1677,475,342,274,1119,1433,1412,1604,1401,2114,1290,1217,1369,1233,1368,1013,854,797,2164,2338,0,2426,1931,1948,1811,1659,2151
Athens,1287,2133,835,562,1107,1553,2162,2336,2447,2143,1798,2212,1870,1476,2074,1081,4170,2838,1113,1468,1264,1206,2113,1892,1954,2145,2199,2613,1574,1372,2858,2834,688,1248,1212,2420,1912,2374,2388,1581,1727,1445,1060,2426,0,513,479,616,846,1081
Skopje,774,1635,330,198,598,1040,1660,1911,2020,1666,1352,1800,1361,971,1561,578,3658,2347,743,1023,798,764,1682,1475,1456,1639,1695,2115,1112,893,2545,2488,463,737,715,2102,1583,1902,1888,1100,1277,1176,914,1931,513,0,139,165,343,843
Tirana,840,1656,372,333,643,1104,1744,2032,2141,1665,1329,1759,1434,1003,1625,672,3706,2360,675,998,787,735,1802,1600,1476,1671,1724,2202,1226,1001,2469,2422,594,814,737,2026,1508,2006,1973,1102,1256,1315,1046,1948,479,139,0,139,445,980
Podgorica,707,1518,237,346,505,969,1616,1935,2043,1532,1203,1643,1302,864,1490,556,3568,2223,578,872,655,611,1705,1510,1338,1532,1585,2075,1122,893,2380,2324,611,685,598,1937,1418,1892,1846,967,1129,1282,1056,1811,616,165,139,0,343,967
Belgrade,453,1361,194,327,331,715,1318,1593,1701,1432,1173,1647,1025,697,1232,235,3337,2080,726,864,629,644,1363,1167,1187,1348,1408,1772,782,556,2473,2387,489,405,481,2036,1526,1563,1545,877,1095,994,864,1659,846,343,445,343,0,729
Chisinau,982,1867,919,648,1000,1152,1486,1360,1469,2010,1833,2314,1320,1279,1546,758,3589,2561,1455,1556,1329,1363,1163,932,1720,1810,1878,1860,801,742,3181,3080,407,907,1152,2750,2247,1519,1670,1513,1758,365,189,2151,1081,843,980,967,729,0
